<TIME>,HEADER,,,Optimization run
<TIME>,HEADER,,RETYPE,position_pkt,double,double,double,double,double,double,double,double,double,double,velocity_pkt,double,double,double,double,acceleration_pkt,double,double,double,double,body_pkt,double,double,double,parameter_pkt,double,double,double,double,ballistic_extrapolation_position_pkt,double,double,double
<TIME>,HEADER,,VATYPE,position_pkt,double,double,double,double,double,double,double,double,double,double,velocity_pkt,double,double,double,double,acceleration_pkt,double,double,double,double,body_pkt,double,double,double,parameter_pkt,double,double,double,double,ballistic_extrapolation_position_pkt,double,double,double
<TIME>,HEADER,,RVCONV,position_pkt,,,,,,,,,,,velocity_pkt,,,,,acceleration_pkt,,,,,body_pkt,,,,parameter_pkt,,,,,ballistic_extrapolation_position_pkt,,,
<TIME>,HEADER,,VAUNIT,position_pkt,sec,dimensionless,sec,usec,rad,rad,m,rad,rad,rad,velocity_pkt,m/sec,m/sec,m/sec,m/sec,acceleration_pkt,m/sec^2,m/sec^2,m/sec^2,m/sec^2,body_pkt,m/s,rad,rad,parameter_pkt,,,,,ballistic_extrapolation_position_pkt,rad,rad,m
<TIME>,HEADER,,,position_pkt,t,norm_t,sec,usec,longitude,latitude,height,heading,pitch,roll,velocity_pkt,v_n,v_e,v_d,v_mag,acceleration_pkt,acc_x,acc_y,acc_z,acc_mag,body_pkt,tas,alpha,beta,parameter_pkt,aileron,elevator,rudder,thrust,ballistic_extrapolation_position_pkt,longitude,latitude,height
<TIME>,INFO,,,position_pkt,0,0,0,0,0.1962058634642946,0.7639730010364315,60.78623451679842,2.080525573333073,-0.03930306422761871,-3.810760004349314e-06,velocity_pkt,-54.29326230822151,96.81879067669325,0.07080946165264956,111.0028899360127,acceleration_pkt,-2.675945779860865,0.174445591301618,12.64940677740699,12.93053010906318,body_pkt,111.0028899360127,-0.03852947353244864,0.001230689101205385,parameter_pkt,0.01345077190385347,-0.004293695854203099,0.007001263221955332,7.954972584556015,ballistic_extrapolation_position_pkt,0.1962538047802652,0.7639535243158537,35.00503550424495
<TIME>,INFO,,,position_pkt,0.125,0.125,0,125000,0.1962084835662279,0.7639719360753534,60.76668802225177,2.084499804470327,-0.01661051220639197,-7.448148818505983e-06,velocity_pkt,-54.15076980578054,96.46395023035744,0.2124724570900552,110.6238885103418,acceleration_pkt,-2.905674534309528,0.4008987902096107,1.486936633363236,3.288562739399085,body_pkt,110.6238885103418,-0.01455634313193739,-0.002296340309497985,parameter_pkt,-0.01351327096383609,-0.008579518768975577,-0.02032506021446354,7.999947074391301,ballistic_extrapolation_position_pkt,0.1962559316428243,0.7639526395130989,35.00493491344618
<TIME>,INFO,,,position_pkt,0.25,0.25,0,250000,0.1962110939318878,0.7639708740816779,60.7292598143182,2.081466770403756,-0.003777469513812273,7.431685879254249e-06,velocity_pkt,-54.00483696478302,96.12521722049236,0.3578821659316513,110.2574617924988,acceleration_pkt,-2.840459063254665,-0.1935321969538756,-5.006585371491602,5.759475625724712,body_pkt,110.2574617924988,-0.0004002530461943567,0.001088092742304892,parameter_pkt,0.01486845680466117,0.001905615420492104,0.01797008066973444,7.999942660069005,ballistic_extrapolation_position_pkt,0.1962580364432848,0.7639517673897964,35.00483222900525
<TIME>,INFO,,,position_pkt,0.375,0.375,0,375000,0.1962136949493331,0.7639698151532461,60.6733427503607,2.072057885126966,0.00153404783352655,6.420071164080824e-05,velocity_pkt,-53.84940715590471,95.79390541272988,0.5092011836121715,109.8930855473211,acceleration_pkt,-2.728237648219456,-0.04881641398053488,-8.258536688745792,8.697648644708309,body_pkt,109.8930855473211,0.006296437114502953,0.01074269161256378,parameter_pkt,-0.01528983882621174,-0.01638723336824077,-0.03268466501779151,7.999965523940819,ballistic_extrapolation_position_pkt,0.1962601105244074,0.7639509120668251,35.00472566834539
<TIME>,INFO,,,position_pkt,0.5,0.5,0,500000,0.1962162871364411,0.7639687595306452,60.59802335169002,2.042881494468134,0.004952108978254465,0.0002712161800827635,velocity_pkt,-53.67297434094058,95.48232281452847,0.6690366265410956,109.5358834111851,acceleration_pkt,-2.607875660315228,-0.2923499462461918,-10.16548021004695,10.4987366788386,body_pkt,109.5358834111851,0.0111812415020143,0.03991266986895108,parameter_pkt,0.01944789802782798,0.002327273089224094,-0.04209608954263563,7.999969130335511,ballistic_extrapolation_position_pkt,0.1962621545468399,0.7639500800464725,35.00461467192078
<TIME>,INFO,,,position_pkt,0.625,0.625,0,625000,0.1962188723604735,0.7639677110101105,60.50209143591158,2.024580720083582,0.003737641199492594,0.0004619340132650845,velocity_pkt,-53.13354247329923,95.29428141717749,0.8394895495186439,109.1094778160076,acceleration_pkt,-2.94422568998806,-6.964973908223781,-10.51613259406499,12.95254303956484,body_pkt,109.1094778160076,0.01154305814579014,0.05475131399374535,parameter_pkt,-0.02048175330186217,-0.009332663479430143,0.07654933981402395,7.995221813124637,ballistic_extrapolation_position_pkt,0.1962642148106278,0.7639493947629679,35.00449215319127
<TIME>,INFO,,,position_pkt,0.75,0.75,0,750000,0.1962214514720718,0.7639666724710442,60.38404414315299,2.047538430833751,0.000851139271150712,0.0003181581826591242,velocity_pkt,-52.66958897229295,95.0574642376551,1.023370018886997,108.6786749827165,acceleration_pkt,-2.676164370715667,0.5335751036904606,-9.809803896679872,10.18227924492753,body_pkt,108.6786749827165,0.01038532493054019,0.02912615374649353,parameter_pkt,0.006822365208154007,-0.006147879079519998,-0.05542005529172019,7.696939859194143,ballistic_extrapolation_position_pkt,0.1962662029934606,0.7639487080691003,35.00436285384317
